,apt_code,apt_name,X_Coord,Y_Coord,Count,bjdCode,도시형 생활주택,아파트,연립주택,주상복합,codeHallNm,분양,사택임대,영구국민임대,hoCnt,Priv/Ho,kaptDongCnt,kaptTarea,age,Temp_avg,Temp_min,Temp_max,kaptdaCnt,privArea,pblntfPclnd,Elec,Result
13084,A10027915,가락마을10단지,128.7667091,35.83851163,2,3611011200,0,1,0,0,계단식,1,0,0,900,87.64801667,17,158684.976,6,12.63333333,7.8,18.24166667,900,78883.215,1445000,591.6485529,6
13085,A10027918,명지1차금강펜테리움센트럴파크,127.2570966,36.4899317,1,2644010400,0,1,0,0,계단식,1,0,0,850,76.01614612,8,125183.247,6,13.975,9.283333333,19.525,850,64613.7242,1327000,548.2781422,7
13087,A56585103,이노힐스,126.7827502,37.34553038,2,4571033024,0,1,0,0,계단식,1,0,0,656,83.09890244,10,89478.1016,8,13.56666667,9.275,18.74166667,656,54512.88,865200,542.5943832,1
13088,A70440020,e편한세상월배,127.0611943,36.7736503,2,2729012000,0,1,0,0,계단식,1,0,0,932,67.75515107,8,121857.3771,7,13.375,8.508333333,18.88333333,932,63147.8008,2340000,720.4706565,1
13095,A10027868,대구테크노폴리스 남해오네뜨1차 아파트,127.4234642,36.71351718,2,2771026522,0,1,0,0,계단식,0,1,0,792,59.96722121,10,96342.9523,6,13.375,8.508333333,18.88333333,792,47494.0392,735000,607.0026292,1
13096,A44070602,수원장안STX칸,128.4276025,34.85328641,2,4111113100,0,1,0,0,계단식,1,0,0,947,89.6730359,13,163803.56,8,12.71666667,8.758333333,17.19166667,947,84920.365,1666000,764.6392329,0
13102,A46381114,아이파크분당,128.5435795,35.90583647,1,4113510300,0,0,0,1,계단식,1,0,0,1071,151.5195985,8,305454.29,18,12.71666667,8.758333333,17.19166667,1071,162277.49,10800000,782.5425973,7
13104,A68080903,쌍용스윗닷홈,127.0583874,37.28294011,2,3114010100,0,1,0,0,계단식,1,0,0,161,97.02100621,2,24240.88,19,13.975,9.283333333,19.525,161,15620.382,2315000,497.3902047,4
13105,A46512002,하남은행,127.3265734,36.29374203,1,4145010300,0,1,0,0,계단식,1,0,0,1360,115.5811765,20,210405,27,12.71666667,8.758333333,17.19166667,1360,157190.4,3750000,444.6011021,5
13106,A10027891,수완2차 골드클래스,127.1111468,37.6167461,1,2920012300,0,0,1,0,계단식,1,0,0,228,72.93851228,10,25330,6,14.16666667,10.1,18.8,228,16629.9808,1085000,743.5598382,1
13112,A10027910,광교역참누리포레스트,129.0433786,35.16609853,2,4111710300,0,1,0,0,계단식,1,0,0,356,59.57770787,11,44131.7757,6,12.71666667,8.758333333,17.19166667,356,21209.664,2880000,754.9152319,0
13113,A68170306,동원로얄듀크2차아파트,128.4191188,35.65693902,2,3111011000,0,1,0,0,계단식,1,0,0,652,84.99577239,10,106775.378,7,13.975,9.283333333,19.525,652,55417.2436,1663000,661.3986331,1
13116,A10027839,충주안림LH천년나무1단지,127.1321378,36.84176088,2,4313012200,0,1,0,0,계단식,0,1,0,344,75.00886628,5,44855.05,6,12.18333333,7.125,17.86666667,344,25803.05,510100,401.1432434,4
13120,A44815010,엘지신봉자이2차,126.8669903,37.62801458,1,4146510500,0,1,0,0,계단식,1,0,0,1626,114.3788585,22,268554,16,12.71666667,8.758333333,17.19166667,1626,185980.024,3101000,505.0619487,1
13122,A45172605,평택한일,127.1421836,36.82944489,1,4122031027,0,1,0,0,혼합식,1,0,0,490,68.059,5,46079.72,25,12.71666667,8.758333333,17.19166667,490,33348.91,792200,487.3304455,5
13129,A40034013,영종 풍림2차아파트,127.1927559,37.55524399,2,2811014700,0,1,0,0,계단식,1,0,0,388,76.95292268,14,39156,19,12.71666667,8.758333333,17.19166667,388,29857.734,1215000,505.9149415,4
13130,A13302201,한진해모로,126.4485589,36.82089616,2,1114016200,0,1,0,0,혼합식,1,0,0,246,85.85634146,3,34885.79,20,12.71666667,8.758333333,17.19166667,246,21120.66,5311000,732.1187722,2
13131,A33980018,가재마을7단지,128.5690902,38.2050628,1,3611011100,0,1,0,0,계단식,1,0,0,866,90.89998961,13,141411.0728,7,12.63333333,7.8,18.24166667,866,78719.391,1603000,661.7308635,0
13132,A44773005,오산KCC스위첸,127.0864676,37.13060041,1,4137012400,0,1,0,0,계단식,1,0,0,408,91.60423186,7,59977.737,11,12.71666667,8.758333333,17.19166667,408,37374.5266,1076000,650.3489064,1
13135,A10027926,에듀센트럴 가락마을21단지,126.7072723,37.63545474,1,3611011200,0,1,0,0,계단식,1,0,0,406,90.06101478,5,66235.305,6,12.63333333,7.8,18.24166667,406,36564.772,1504000,565.7329364,7
13137,A15809603,벽산블루밍1단지,127.1147125,37.21673926,1,1147010300,0,1,0,0,계단식,1,0,0,444,74.93375991,7,41795.56,18,12.71666667,8.758333333,17.19166667,444,33270.5894,4243000,561.0590966,0
13138,A44347019,영통벽적골롯데,128.5354587,35.80176307,1,4111710500,0,1,0,0,복도식,1,0,0,1040,51.5,6,100302.41,19,12.71666667,8.758333333,17.19166667,1040,53560,2982000,410.3214106,1
13139,A10027804,골드클래스7차아파트,129.0881066,35.21523112,1,4611010300,0,1,0,0,계단식,1,0,0,319,82.33164984,6,46785.1921,6,14.16666667,10.1,18.8,319,26263.7963,476800,703.6574145,1
13141,A44337001,래미안영통마크원1단지,127.3359911,36.29443239,2,4111710600,0,1,0,0,계단식,1,0,0,367,85.57623978,5,62044,8,12.71666667,8.758333333,17.19166667,367,31406.48,2324000,748.1806302,0
13142,A10027781,우산동중흥S클래스리버티,127.1097436,37.1811938,1,2920010900,0,1,0,0,계단식,0,1,0,849,82.70676007,12,140811.8,6,14.16666667,10.1,18.8,849,70218.0393,1279000,699.7572916,1
13143,A50283210,풍암1차호반아파트,127.663087,34.75829084,1,2914012800,0,1,0,0,계단식,1,0,0,525,59.88,3,47406,21,14.16666667,10.1,18.8,525,31437,1068000,493.8782592,1
13146,A10027767,철원석미모닝파크,127.0890921,37.82237282,2,4278025624,0,1,0,0,혼합식,0,1,0,171,78.4674269,3,21695.74,6,11.94166667,6.966666667,17.80833333,171,13417.93,319200,547.1966118,5
13149,A10027752,더샵 레이크시티 3차 아파트,129.1740177,35.16069067,1,4420035035,0,1,0,0,계단식,1,0,0,1118,86.87863148,17,173968.55,6,12.63333333,7.8,18.24166667,1118,97130.31,589000,672.1108649,1
13152,A14382101,구의삼성쉐르빌,127.1552213,36.47523274,2,1121510300,0,1,0,0,복도식,1,0,0,252,123.855873,1,70372.67,20,12.71666667,8.758333333,17.19166667,252,31211.68,8500000,708.9802653,0
13153,A48076404,신곡신성벽산,127.1145475,37.27385541,1,4115010400,0,1,0,0,계단식,1,0,0,660,81.362,7,76609.715,28,12.71666667,8.758333333,17.19166667,660,53698.92,1942000,513.784447,4
13159,A10027777,메가트로피,127.4885363,36.63801975,2,4413310800,1,0,0,1,혼합식,1,0,0,180,19.298,1,7399.94,7,12.63333333,7.8,18.24166667,180,3473.64,3008000,755.6021445,7
13161,A35608001,서산 세창리베아파트,127.1234416,36.99406283,2,4421010300,0,1,0,0,계단식,1,0,0,468,84.7766,8,52335.333,19,12.63333333,7.8,18.24166667,468,39675.4488,168600,418.2690346,5
13163,A10027888,송도 더샵 그린워크3차 18-1BL,127.1212302,37.27176121,1,2818510600,0,1,0,0,계단식,1,0,0,780,94.81160256,6,150092.96,6,12.71666667,8.758333333,17.19166667,780,73953.05,2575000,794.7599896,0
13166,A10027830,동탄역시범한화꿈에그린프레스티지아파트,129.0182631,35.33684316,2,4159013000,0,1,0,0,계단식,1,0,0,1817,99.69465052,25,338778.19,6,12.71666667,8.758333333,17.19166667,1817,181145.18,3318000,759.1012653,6
13167,A10027984,칠곡효성해링턴플레이스2단지,127.6389927,37.3131842,1,4785025623,0,1,0,0,계단식,1,0,0,576,69.44885625,6,70671.5687,6,13.375,8.508333333,18.88333333,576,40002.5412,512900,626.4788665,1
13168,A10027927,삼송마을18단지,126.8863039,37.50735758,2,4128111100,0,1,0,0,혼합식,0,0,1,1890,42.70732275,19,156810.55,6,12.71666667,8.758333333,17.19166667,1890,80716.84,2993000,551.6891415,5
13170,A10027832,백양산동문굿모닝힐,126.3683561,34.80637095,2,2632010300,0,1,0,0,계단식,1,0,0,3160,78.54428453,30,334502.174,6,13.975,9.283333333,19.525,3160,248199.9391,1373000,602.3453902,1
13172,A57010002,남중동 남성,128.5000738,35.85451053,1,4514011300,0,1,0,0,계단식,1,0,0,400,84.708475,14,41187,35,13.56666667,9.275,18.74166667,400,33883.39,352100,42.79382907,4
13176,A43577404,당정대우푸르지오,127.5853298,36.98923595,1,4141010200,0,1,0,0,계단식,1,0,0,565,84.98415487,6,79138.61,17,12.71666667,8.758333333,17.19166667,565,48016.0475,2615000,572.3467069,4
13177,A15880905,목동금호베스트빌,126.4274221,34.7958438,1,1147010200,0,1,0,0,혼합식,1,0,0,495,95.92622222,5,78150.55,19,12.71666667,8.758333333,17.19166667,495,47483.48,6058000,583.3436387,5
13179,A54577001,광양중마우림필유아파트,127.0529301,37.23442799,1,4623010700,0,1,0,0,계단식,1,0,0,803,88.31459651,9,128785.38,9,14.16666667,10.1,18.8,803,70916.621,599900,691.165827,0
13181,A22094305,동보렉스5차아파트,127.1061455,37.35757258,2,4213010700,0,1,0,0,복도식,1,0,0,200,55.62,2,15261.42,30,11.94166667,6.966666667,17.80833333,200,11124,592700,102.7679642,3
13182,A50604012,EG스위트밸리1,129.2534745,35.5547447,1,2920010800,0,1,0,0,계단식,1,0,0,406,84.9831,8,50459.922,20,14.16666667,10.1,18.8,406,34503.1386,559700,498.4117107,1
13183,A10027881,석촌호수 효성해링턴타워,126.9168509,36.98691297,1,1171010500,1,0,0,1,복도식,1,0,0,257,17.28994669,1,13055.763,6,12.71666667,8.758333333,17.19166667,257,4443.5163,18000000,2040.827254,1
13185,A10027828,첨단도휘에드가,126.8128559,37.57213914,1,2920011600,1,0,0,1,복도식,1,0,0,260,19.658,1,13086.898,6,14.16666667,10.1,18.8,260,5111.08,1593000,590.5232684,7
13188,A10027973,세종 블루지움,127.0698139,37.63801241,2,3611010700,1,0,0,1,복도식,1,0,0,150,28.8964,1,13268.9,6,12.63333333,7.8,18.24166667,150,4334.46,4592000,583.6881642,7
13189,A74087101,경북혁신KCC스위첸,127.0106507,36.78029498,2,4715012000,0,1,0,0,계단식,1,0,0,660,82.98131818,11,97892,8,13.375,8.508333333,18.88333333,660,54767.67,930900,592.823193,1
13190,A10027876,첨단AM-City센트럴파크,126.6742139,37.42314904,2,2920011600,0,0,0,1,복도식,1,0,0,275,40.9226,1,25893.0012,6,14.16666667,10.1,18.8,275,11253.715,1310000,131.4902086,3
13193,A43080801,석수2차e편한세상,127.0512601,37.29112435,2,4117110200,0,1,0,0,계단식,1,0,0,231,81.58204762,4,30432.204,15,12.71666667,8.758333333,17.19166667,231,18845.453,2965000,569.7860071,4
13196,A64553005,진해3차부영아파트,126.6534164,37.53102639,2,4812916200,0,1,0,0,혼합식,1,0,0,1275,54.31187294,11,107493.219,18,13.975,9.283333333,19.525,1275,69247.638,688900,470.6975108,1
13197,A46774704,수림1차,129.0758842,35.18096764,1,4150011000,0,1,0,0,계단식,1,0,0,498,74.83542169,6,55924.461,19,12.71666667,8.758333333,17.19166667,498,37268.04,891200,551.2569662,0
13198,A10027971,진해유진에코블루스카이아파트,127.2603925,36.51300282,2,4812911600,0,1,0,0,계단식,1,0,0,158,59.89657278,2,24087.8454,6,13.975,9.283333333,19.525,158,9463.6585,873500,831.4288989,1
13201,A13980019,공릉태강,127.0580887,37.33465883,2,1135010300,0,1,0,0,혼합식,1,0,0,1676,52.56990453,21,147851.27,22,12.71666667,8.758333333,17.19166667,1676,88107.16,3955000,575.5282166,5
